CATEGORY,TEXT,LINK
Lietuvoje,Garsiam profesoriui – neigiamas teismo sprendimas: prestižinėje vietoje griuvo neteisėta tvora,https://www.delfi.lt/news/daily/lithuania/garsiam-profesoriui-neigiamas-teismo-sprendimas-prestizineje-vietoje-griuvo-neteiseta-tvora.d?id=91597515
Užsienyje,Erdoganas: Scholzas pakeitė požiūrį į Putiną,https://www.delfi.lt/news/daily/world/erdoganas-scholzas-pakeite-poziuri-i-putina.d?id=91648923
Lietuvoje,Po Turkijos įsikišimo Putinui teko praryti nuoskaudą ir nusileisti,https://www.delfi.lt/news/daily/lithuania/po-turkijos-isikisimo-putinui-teko-praryti-nuoskauda-ir-nusileisti.d?id=91648355
Lietuvoje,"Paleckio bendražygio išpuolis Antakalnio kapinėse: policija vertina, ar pradėti tyrimą",https://www.delfi.lt/news/daily/lithuania/paleckio-bendrazygio-ispuolis-antakalnio-kapinese-policija-vertina-ar-pradeti-tyrima.d?id=91649003
Lietuvoje,Šimonytė – apie į skandalą patekusią Bilotaitę: man ši situacija „gana aiški“,https://www.delfi.lt/news/daily/lithuania/simonyte-apie-i-skandala-patekusia-bilotaite-man-si-situacija-gana-aiski.d?id=91648555
Verslas,"Šildymo, geriamojo ir karšto vandens išlaidų kompensacijos: ką būtina žinoti, norint jas gauti",https://www.delfi.lt/verslas/mano-eurai/sildymo-geriamojo-ir-karsto-vandens-islaidu-kompensacijos-ka-butina-zinoti-norint-jas-gauti.d?id=91649311
Užsienyje,Karas Ukrainoje. Zelenskis: Rusijos šantažas nuėjo perniek,https://www.delfi.lt/news/daily/world/karas-ukrainoje-zelenskis-rusijos-santazas-nuejo-perniek.d?id=91648163
Verslas,"Ukrainos ekonomika be paramos neišsivers: JAV ir Europa ruošiasi skirti po 1,5 mlrd. dolerių kas mėnesį",https://www.delfi.lt/verslas/verslas/ukrainos-ekonomika-be-paramos-neissivers-jav-ir-europa-ruosiasi-skirti-po-1-5-mlrd-doleriu-kas-menesi.d?id=91622721
Pilietis,"Pastebėjo, kaip gudrauja perkantys valstybinius automobilių numerius: užsidirba net trigubai",https://www.delfi.lt/pilietis/naujienos/pastebejo-kaip-gudrauja-perkantys-valstybinius-automobiliu-numerius-uzsidirba-net-trigubai.d?id=91603841
Veidai,"LRT palikusi Edita Mildažytė grįžta į ekranus: esame tiesiog žmonės – mylintys, klystantys ir visuomet trokštantys laimės",https://www.delfi.lt/veidai/eteris/lrt-palikusi-edita-mildazyte-grizta-i-ekranus-esame-tiesiog-zmones-mylintys-klystantys-ir-visuomet-trokstantys-laimes.d?id=91648237
Kriminalai ir nelaimės,Neįtikėtinas vyro siautėjimas Klaipėdoje: apgadino 4 automobilius bei pavogtu benzinvežiu rėžėsi į dvi policijos mašinas,https://www.delfi.lt/news/daily/crime/neitiketinas-vyro-siautejimas-klaipedoje-apgadino-4-automobilius-bei-pavogtu-benzinveziu-rezesi-i-dvi-policijos-masinas.d?id=91648583
Būstas,"Šykštumas namuose gali virsti ne tik dar didesnėmis išlaidomis: darbai, kurių neatlikus, kyla pavojus jūsų sveikatai ir net gyvybei",https://www.delfi.lt/bustas/patarimai/sykstumas-namuose-gali-virsti-ne-tik-dar-didesnemis-islaidomis-darbai-kuriu-neatlikus-kyla-pavojus-jusu-sveikatai-ir-net-gyvybei.d?id=91637861
Multimedija,Gydytoja dietologė davė auksinį patarimą: jei taip kalbėsite nutukusiam žmogui – laukia daug sunkesnės pasekmės,https://www.delfi.lt/multimedija/pagalba-sau/gydytoja-dietologe-dave-auksini-patarima-jei-taip-kalbesite-nutukusiam-zmogui-laukia-daug-sunkesnes-pasekmes.d?id=91508227
Login,Rusijos parduotuvėse imamasi pardavinėti „svetimus“ telefonus: kartais net kištukai netinka,https://www.delfi.lt/login/technologijos/naujienos/rusijos-parduotuvese-imamasi-pardavineti-svetimus-telefonus-kartais-net-kistukai-netinka.d?id=91636217
Veidai,Slapta susituokė Mis Argentina ir Mis Puerto Rikas,https://www.delfi.lt/veidai/uzsienio-zvaigzdes/slapta-susituoke-mis-argentina-ir-mis-puerto-rikas.d?id=91648645
Mokslas,Paaiškėjo tragiška kilmingos austrų šeimos vaiko mirties priežastis: mažylį pražudė kvailas aristokratų įprotis,https://www.delfi.lt/mokslas/mokslas/paaiskejo-tragiska-kilmingos-austru-seimos-vaiko-mirties-priezastis-mazyli-prazude-kvailas-aristokratu-iprotis.d?id=91647957
Sveikata,"Kėlimosi laikas gali nulemti jūsų sveikatą ir medžiagų apykaitą: tyrimas parodė, kas riebalus degina sparčiau",https://www.delfi.lt/sveikata/zinoti-sveika/kelimosi-laikas-gali-nulemti-jusu-sveikata-ir-medziagu-apykaita-tyrimas-parode-kas-riebalus-degina-sparciau.d?id=91624143
Užsienyje,Karas Ukrainoje. Žiniasklaida: rusų generolai be Putino tarėsi dėl branduolinio ginklo panaudojimo,https://www.delfi.lt/news/daily/world/karas-ukrainoje-ziniasklaida-rusu-generolai-be-putino-taresi-del-branduolinio-ginklo-panaudojimo.d?id=91645819
Verslas,"Lietuva importuoja didžiąją dalį elektros, nors galėtų pasigaminti beveik visą: paaiškino, kodėl taip yra",https://www.delfi.lt/verslas/energetika/lietuva-importuoja-didziaja-dali-elektros-nors-galetu-pasigaminti-beveik-visa-paaiskino-kodel-taip-yra.d?id=91623701
Užsienyje,ES skambina pavojaus varpais: nerimą kelia duomenys iš Rusijos kaimynių – pokytis staigus ir netikėtas,https://www.delfi.lt/news/daily/world/es-skambina-pavojaus-varpais-nerima-kelia-duomenys-is-rusijos-kaimyniu-pokytis-staigus-ir-netiketas.d?id=91634229
Užsienyje,„Niekam neįdomu“: laidos dalyvių komentarai apstulbino Kremliaus propagandistus,https://www.delfi.lt/news/daily/world/niekam-neidomu-laidos-dalyviu-komentarai-apstulbino-kremliaus-propagandistus.d?id=91639033
Lietuvoje,Šimonytė apie į skandalą patekusią Bilotaitę: man ši situacija „gana aiški“,https://www.delfi.lt/news/daily/lithuania/simonyte-apie-i-skandala-patekusia-bilotaite-man-si-situacija-gana-aiski.d?id=91648555
Lietuvoje,Rusijos strategija – vis žiauresnė: peržengta dar viena raudona linija,https://www.delfi.lt/news/daily/lithuania/rusijos-strategija-vis-ziauresne-perzengta-dar-viena-raudona-linija.d?id=91582111
